# Every `pro` command path the CLI shipped before spec-derived naming, with the
# shape it had then and the shape it has now. See invocation_sweep_test.go.
#
# Columns: invocation <TAB> was <TAB> now
#   leaf  — resolves to a command that runs and returns a result
#   group — resolves to a parent, which prints help and exits 0
#   gone  — no longer resolves at all (`now` only)
#
# A `leaf`->`group` row is the worst shape a rename can take and there are three:
# the path still resolves and still exits 0, and a script piping it into jq gets
# help text instead of data. Recorded here and in CHANGELOG.md's migration table.
pro computer-groups-smart-groups create	leaf	leaf
pro computer-groups-smart-groups delete	leaf	leaf
pro computer-groups-smart-groups get	leaf	leaf
pro computer-groups-smart-groups list	leaf	leaf
pro computer-groups-smart-groups update	leaf	leaf
pro computer-groups-static-groups	group	group
pro computer-groups-static-groups apply	leaf	leaf
pro computer-groups-static-groups create	leaf	leaf
pro computer-groups-static-groups delete	leaf	leaf
pro computer-groups-static-groups get	leaf	leaf
pro computer-groups-static-groups list	leaf	leaf
pro computer-groups-static-groups update	leaf	leaf
pro computer-inventory-collection-settings	group	group
pro computer-inventory-collection-settings create	leaf	gone
pro computer-inventory-collection-settings delete	leaf	gone
pro computer-inventory-collection-settings list	leaf	leaf
pro computer-inventory-collection-settings patch	leaf	leaf
pro computer-prestage-scopes	group	group
pro computer-prestage-scopes create-scope	leaf	gone
pro computer-prestage-scopes delete-multiple	leaf	leaf
pro computer-prestage-scopes list	leaf	leaf
pro computer-prestage-scopes scope	leaf	leaf
pro computer-prestage-scopes update-scope	leaf	gone
pro computer-prestages	group	group
pro computer-prestages apply	leaf	leaf
pro computer-prestages create	leaf	leaf
pro computer-prestages delete	leaf	leaf
pro computer-prestages get	leaf	leaf
pro computer-prestages list	leaf	leaf
pro computer-prestages update	leaf	leaf
pro computer-smart-groups	group	group
pro computer-smart-groups recalculate	leaf	leaf
pro computer-smart-groups recalculate-smart-groups	leaf	leaf
pro computers-inventory	group	group
pro computers-inventory apply	leaf	leaf
pro computers-inventory blank-push	leaf	leaf
pro computers-inventory create	leaf	leaf
pro computers-inventory ddm-sync	leaf	leaf
pro computers-inventory delete	leaf	leaf
pro computers-inventory disable-remote-desktop	leaf	leaf
pro computers-inventory download	leaf	leaf
pro computers-inventory enable-remote-desktop	leaf	leaf
pro computers-inventory erase	leaf	leaf
